name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
acili ezme  turkish style tomato dip condiment,236835.0,70.0,47892.0,2007-06-25,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'appetizers', 'vegetables', 'asian', 'middle-eastern', 'easy', 'spring', 'summer', 'vegan', 'vegetarian', 'dips', 'turkish', 'dietary', 'seasonal', 'tomatoes', '4-hours-or-less']","[173.2, 21.0, 26.0, 0.0, 4.0, 9.0, 3.0]",5.0,"['crush the onion with the sumac and salt using a pestle and mortar or back of a fork', 'combine with the remaining ingredients in a medium mixing bowl', 'set aside for at least 1-3 hours for flavor to enhance', 'adjust seasoning if necessary just before serving', 'transfer to a pretty serving bowl or platter and serve with chips , slices of toasted french baguette , kebabs , pita crisps , etc']","from turkishcooking.com. the website indicates this sauce is used for a condiment on shish kebabs but i served it as a salsa with slices of toasted french bread. be sure the tomatoes you use are top quality! if you cannot find good quality tomatoes, go ahead and used diced canned. try different chili peppers such as thai, habanero, etc. do not omit the sumac as it is integral to the recipe. ;)","red onions, sumac, salt, tomatoes, fresh parsley, extra virgin olive oil, pomegranate syrup, fresh lemon juice, red jalapeno chiles",9.0,173.2,21.0,26.0,0.0,4.0,9.0,3.0
acini di pepe ambrosia salad,234856.0,45.0,29063.0,2007-06-14,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'healthy', 'salads', 'eggs-dairy', 'fruit', 'pasta', 'potluck', 'holiday-event', 'low-fat', 'picnic', 'eggs', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'healthy-2', 'low-in-something', 'pasta-rice-and-grains', 'to-go']","[396.3, 7.0, 200.0, 5.0, 15.0, 14.0, 28.0]",10.0,"['combine sugar flour and salt in a saucepan', 'gradually stir in 1 3 / 4 cup of pineapple juice and eggs and cook until thick', 'add lemon juice and stir well', 'in a separate pan boil 3 quarts of water , 1 teaspoon of oil and the dry pasta', 'cook until soft', 'drain and rinse with cold water', 'let cool to room temperature', 'combine with egg mixture and refrigerate overnight in an air tight container', 'mix lightly and add the mandarin oranges , pineapple , marshmallows and coconut', 'serve immediately']",a family favorite and a fond memory from my childhood.,"sugar, flour, salt, eggs, lemon juice, oil, acini di pepe pasta, mandarin oranges, pineapple chunks, pineapple tidbits, mini marshmallows, shredded coconut",12.0,396.3,7.0,200.0,5.0,15.0,14.0,28.0
acini di pepe salad,131170.0,26.0,84038.0,2005-07-25,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'salads', 'european', 'dinner-party', 'vegetarian', 'italian', 'dietary', 'pasta-rice-and-grains']","[480.1, 49.0, 11.0, 36.0, 23.0, 34.0, 12.0]",7.0,"['bring a large pot of salted water to a boil', 'cook the pasta for about 6 minutes or until tender', 'drain and rinse under cold water to stop the cooking process', 'toss the pasta with the olive oil , red wine vinegar , and salt', 'fold in the tomatoes , pine nuts , radicchio , onion , and basil', 'sprinkle with the feta cheese', 'serve at room temperature']",a light and very flavorful salad.  courtesy of  the cookworks.,"acini di pepe pasta, extra virgin olive oil, red wine vinegar, kosher salt, grape tomatoes, pine nuts, radicchio, red onion, basil leaves, feta cheese",10.0,480.1,49.0,11.0,36.0,23.0,34.0,12.0
acini di pepe with lemon butter and zucchini,253194.0,11.0,283251.0,2007-09-15,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'healthy', '5-ingredients-or-less', 'side-dishes', 'pasta', 'easy', 'european', 'beginner-cook', 'fall', 'kid-friendly', 'summer', 'vegan', 'vegetarian', 'dietary', 'low-sodium', 'seasonal', 'low-in-something', 'pasta-rice-and-grains', 'presentation', 'served-hot', '3-steps-or-less']","[212.3, 9.0, 5.0, 1.0, 11.0, 18.0, 10.0]",5.0,"['cook the pasta in plenty of boiling salted water', 'drain', 'add the lemon juice , butter , zucchini and zest to the pasta', 'stir gently', 'serve hot']",this is from 365 ways to cook pasta. simple and delicious!,"acini di pepe pasta, lemon juice, butter, fresh lemon zest, zucchini",5.0,212.3,9.0,5.0,1.0,11.0,18.0,10.0
acini di pepe with spinach and feta,114599.0,25.0,52282.0,2005-03-29,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'side-dishes', 'vegetables', 'easy', 'european', 'kosher', 'vegetarian', 'stove-top', 'dietary', 'pasta-rice-and-grains', 'greens', 'spinach', 'onions', 'equipment']","[395.2, 27.0, 11.0, 13.0, 25.0, 37.0, 15.0]",7.0,"['cook acini di pepe according to package directions , drain , and keep warm', 'heat oil and butter in a skillet', 'add garlic pepper flakes and scallions , and cook 2 minutes', 'add spinach and cook until wilted , 2 minutes or so', 'add pasta back to skillet , add feta cheese', 'season with salt and pepper to taste', 'serve']",i adapted this from a recipe in gourmet. this is pure comfort food to me.,"acini di pepe pasta, olive oil, butter, garlic cloves, red pepper flakes, scallions, spinach leaves, feta, salt",9.0,395.2,27.0,11.0,13.0,25.0,37.0,15.0
acini di pepe with zucchini and peppers,115831.0,45.0,52282.0,2005-04-08,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'healthy', 'side-dishes', 'pasta', 'vegetables', 'kosher', 'spring', 'summer', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'seasonal', 'healthy-2', 'low-in-something', 'pasta-rice-and-grains', 'peppers', 'squash']","[391.8, 19.0, 19.0, 3.0, 22.0, 12.0, 18.0]",9.0,"['bring a pot of water to a boil , add acini di pepe and some salt , cook according to package directions until al dente , drain', 'mix with 1 tbsp olive oil and set aside', 'heat remaining oil in a skillet', 'add carrots and onion , cook for 8 minutes', 'add garlic , zucchini and peppers , season with salt and pepper to taste , saute 5 minutes', 'add wine and scrape up any brown bits', 'add the pasta to the pan and stir , combining everything', 'remove pan from heat , stir in parsley , oregano , romano cheese', 'season with salt and pepper , serve']","adapted from  fine cooking light, this is a colorful summery side dish.","acini di pepe pasta, kosher salt, olive oil, carrot, onion, garlic cloves, yellow pepper, zucchini, white wine, fresh parsley, fresh oregano, romano cheese, ground pepper",13.0,391.8,19.0,19.0,3.0,22.0,12.0,18.0
acma  soft turkish bagels,227248.0,45.0,335718.0,2007-05-10,"['60-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'occasion', 'breads', 'breakfast', 'asian', 'middle-eastern', 'easy', 'rolls-biscuits', 'turkish', 'inexpensive', 'brunch']","[525.6, 44.0, 32.0, 13.0, 18.0, 22.0, 19.0]",10.0,"['mix the yeast with warm water in a large bowl', 'stir well so the yeast dissolves , then add the sugar , milk and sunflower oil', 'stir until the sugar dissolves', 'add flour and salt slowly and knead', 'place the dough in a large bowl , cover it with plastic wrap over the rim and let it rest for about 2 hours until the dough rises to double its size', 'take a small sized ball from the dough and make it longer by rolling between your palms', 'then close up the ends to make a ring shape', 'brush egg whites and sprinkle sesame seeds on top', 'preheat the oven to 400f place parchment paper on an oven tray and arrange the acma on it', 'bake for 10 minutes , then turn the heat to down 375 f then bake 15 more minutes until the tops take a golden colour']","these make a lovely breakfast treat or a great snack at any time of day! you can alter them by filling them with cream cheese and raisins, or (my favourite) chocolate! mmmm!
adapted from a recipe from binnurs turkish cookbook. 
preparation time does not the 2 hours for proofing.","instant yeast, milk, water, sugar, olive oil, flour, salt, egg white, sesame seeds",9.0,525.6,44.0,32.0,13.0,18.0,22.0,19.0
acne cleansing salad,163591.0,5.0,300888.0,2006-04-10,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-1-or-2', 'low-protein', 'healthy', 'lunch', 'salads', 'vegetables', 'easy', 'beginner-cook', 'diabetic', 'vegan', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something', 'greens', 'spinach', 'lettuces', 'collard-greens', 'number-of-servings', '3-steps-or-less']","[194.8, 21.0, 15.0, 3.0, 7.0, 9.0, 5.0]",3.0,"['whisk oil and vinegar together', 'throw together onion , salad greens and carrot', 'pour vinaigrette over and toss together']",despite being in my 20's i still suffer from acne. this salad is designed to help cleanse the bowel and restore proper bowel flora.,"olive oil, apple cider vinegar, garlic, onion, baby spinach, rocket, collard greens, carrot",8.0,194.8,21.0,15.0,3.0,7.0,9.0,5.0
acorda alentejana   alentejo bread and garlic soup,271185.0,25.0,102058.0,2007-12-12,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'clear-soups', 'lunch', 'soups-stews', 'vegetables', 'easy', 'european', 'beginner-cook', 'vegetarian', 'portuguese', 'dietary', 'low-carb', 'inexpensive', 'low-in-something', 'taste-mood']","[385.8, 51.0, 7.0, 33.0, 18.0, 27.0, 4.0]",4.0,"['mince the garlic and mix with the salt in a soup pan', 'add the olive oil and chopped coriander then add the water and stir well', 'heat a separate pan of water and gently drop in your eggs to poach them', 'serve the garlic soup into individual dishes , place a slice of bread on top of each and then gently top with one poached egg per plate']","i picked up a second hand book called portuguese cookery by ursula bourne, and want to post recipes that i have adapted so that i can make them soonest.
i am unclear if this soup is meant to be hot or cold since no reference to heating it is made in the recipe, so will update this one once i have made it.  if you make this before i do, i would greatly appreciate your feedback.","garlic cloves, salt, olive oil, fresh coriander, boiling water, whole wheat bread, eggs",7.0,385.8,51.0,7.0,33.0,18.0,27.0,4.0
acorn bread,71702.0,50.0,91846.0,2003-09-26,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'breads', 'fruit', 'american', 'oven', 'heirloom-historical', 'holiday-event', 'vegetarian', 'nuts', 'grains', 'dietary', 'thanksgiving', 'native-american', 'northeastern-united-states', 'pasta-rice-and-grains', 'novelty', 'equipment', 'number-of-servings']","[1203.7, 85.0, 153.0, 147.0, 54.0, 63.0, 50.0]",22.0,"['heat oven to 400 degrees', 'grease a loaf pan', 'sift together dry ingredients in a bowl', 'in a separate bowl , combine egg , milk , and oil', 'combine dry and liquid ingredients', 'stir just enough to moisten dry ingredients', 'batter will be a bit lumpy', 'pour into a greased pan , bake at 400 degrees for 30 minutes', 'acorns are very easy to use , similar to chestnuts', 'first examine the acorns as you pick / gather them', 'throw away any that are wormy / moldy / cracked / etc', 'next , shell them', 'early in the season the shell is usually soft enough to cut through', 'later in the season acorns may require a nut cracker , though many times the shells are rather thin and brittle', 'taste the raw acorns- if they are bitter , they need to be boiled', 'tannic acid causes the bitterness , and is easily leached out by boiling the acorns in successive pots of water', 'when the water no longer turns brown , the acorns are ready', 'the next step is to roast the acorns slightly', 'use a warm oven , no more than 250 degrees', 'acorns that have not been boiled will take 60 minutes or so , boiled acorns will take longer', ""once they're roasted , the acorns can be used in place of nuts in most recipes , although they are less oily than most nuts"", 'they can be glazed like chestnuts , simmered in a soup , ground and used as a flour extender']","very tasty, with a distinctive texture. great for thanksgiving! american colonists in the northeast used all available food sources- acorn bread is an adaptation of a native american recipe which was somewhat common in the late 17th century until the mid 19th among the poorer working classes.","acorn meal, flour, baking powder, salt, sugar, eggs, milk, oil",8.0,1203.7,85.0,153.0,147.0,54.0,63.0,50.0
acorn magic delights,1712.0,0.0,1534.0,1999-10-01,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'hand-formed-cookies', 'desserts', 'oven', 'finger-food', 'cookies-and-brownies', 'dietary', 'equipment', 'number-of-servings', 'presentation']","[148.4, 15.0, 28.0, 2.0, 3.0, 21.0, 4.0]",13.0,"['melt the butter or margarine over low heat', 'in a large bowl , beat together butter , brown sugar , 3 / 4 cup chopped pecans , and vanilla until well blended', 'add flour and baking powder and mix well', 'shape dough into 1-inch balls', 'slightly flatten by pressing balls onto ungreased cookie sheets', 'pinch tops to point to resemble acorns', 'bake for 10 to 12 minutes at 375 degrees f', 'remove from oven and cool on wire racks', 'in top of a double boiler melt chocolate chips , stirring until smooth', 'remove from heat', 'keep chocolate warm over water in the double boiler', 'dip large ends of cooled cookies into melted chocolate , then roll in remaining 3 / 4 cup chopped pecans', 'cool to set chocolate']",,"butter, brown sugar, pecans, all-purpose flour, baking powder, semi-sweet chocolate chips, vanilla extract",7.0,148.4,15.0,28.0,2.0,3.0,21.0,4.0
acorn or butternut squash risotto,65041.0,40.0,3288.0,2003-06-19,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', 'main-dish', 'side-dishes', 'rice', 'vegetables', 'american', 'european', 'microwave', 'fall', 'romantic', 'spring', 'summer', 'vegan', 'vegetarian', 'winter', 'italian', 'stove-top', 'dietary', 'one-dish-meal', 'seasonal', 'comfort-food', 'pasta-rice-and-grains', 'brown-rice', 'squash', 'taste-mood', 'equipment', 'number-of-servings']","[252.8, 3.0, 5.0, 4.0, 20.0, 1.0, 17.0]",12.0,"['peel the squash and cut into 1"" cubes', 'put them under the broiler to toast', 'boil the rice with liquid and flavoring', 'heat up a large fry pan and scold the mixed veg on it with no liquid', 'when the squash is browned to your taste put it in the microwave with a couple of spoons of water and zap until tender- takes about 4', '5 minutes', 'while the squash is zapping mix the cooked rice in with the mixed veg', 'stir in whatever seasoning you feel like using', 'it should now be on a low heat- just to keep everything warm', 'when the squash is done toss it in and mix it up- and serve', 'salt or soy sauce or whatever to taste', 'it took about 15-20 mins to do']",this risotto is easy and fairly quick after you peel and cut up the squash. good healthy alternative. could be used as a main meal or a side dish,"squash, minute brown rice, frozen mixed vegetables, vegetable stock cube, water, pepper, chinese five spice powder",7.0,252.8,3.0,5.0,4.0,20.0,1.0,17.0
acorn pancakes,267905.0,19.0,465056.0,2007-11-26,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', 'pancakes-and-waffles', 'breakfast', 'heirloom-historical', 'holiday-event', 'number-of-servings']","[431.4, 44.0, 1.0, 59.0, 22.0, 36.0, 10.0]",7.0,"['mix dry ingredient', 'separately mix liquid ingredients', 'pour just enough liquid into the flour mix to make a good batter', '- do not over-mix !', 'spoon the batter into a greased frying pan', 'fry till golden , flipping once', 'top your pancakes with your favorite syrup and serve hot !']",to make acorn meal see recipe #267533.,"white flour, acorn meal, baking powder, salt, egg, milk, oil",7.0,431.4,44.0,1.0,59.0,22.0,36.0,10.0
acorn shepherd s pie,277764.0,80.0,311003.0,2008-01-09,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'low-protein', 'very-low-carbs', 'main-dish', 'beef', 'easy', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something', 'meat', '3-steps-or-less', '4-hours-or-less']","[525.8, 38.0, 17.0, 20.0, 56.0, 57.0, 17.0]",26.0,"['preheat oven to 400 degrees f', 'place squash , cut side down , on a baking sheet', 'roast until soft , about 30 minutes', 'remove from oven and set aside four of the halves', 'scoop flesh of the remaining two halves into a medium bowl', 'meanwhile , place potato in a small saucepan and cover with cold water', 'bring to a boil , and reduce heat to a bare simmer', 'cook until tender when pierced with a paring knife , 3 to 4 minutes', 'drain', 'add potato to bowl with squash and mash with a fork until smooth', 'stir in 1 tablespoon butter', 'season with salt and pepper', 'melt remaining tablespoon butter in a large skillet over medium heat', 'add onion', 'saute until soft and translucent , about 5 minutes', 'add celery and garlic , and cook 1 minute', 'add beef and oregano , and season with salt and pepper', 'continue cooking , breaking up beef with a wooden spoon until well browned , about 4 minutes', 'add tomato sauce and bring to a boil', 'reduce heat', 'simmer until most of the liquid has evaporated , about 2 minutes', 'fill each reserved squash half with about 1 / 2 cup beef mixture', 'place in a baking dish', 'top each half with about 1 / 3 cup potato mixture and sprinkle with cheese', 'bake until mixture is heated through and tops just begin to brown , 10 to 15 minutes', 'remove from oven , let sit for about 5 minutes , and then serve']","this recipe is a meal-in-one dish.  i love acorn squash, and was happy to find another way to use it in cooking.  enjoy!","acorn squash, russet potato, unsalted butter, salt & freshly ground black pepper, yellow onion, celery, garlic cloves, ground beef, dried oregano, tomato sauce, parmesan cheese",11.0,525.8,38.0,17.0,20.0,56.0,57.0,17.0
acorn squash   cranberry orange sauce,72562.0,375.0,92700.0,2003-10-03,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'side-dishes', 'vegetables', 'crock-pot-slow-cooker', 'dietary', 'squash', 'equipment']","[334.1, 0.0, 241.0, 2.0, 4.0, 0.0, 29.0]",8.0,"['cut each squash in half length wise', 'remove seeds', 'cut squash into 1 inch thick wedges', 'arrange squash in slow cooker', 'heat cranberry sauce , marmalade , cinnamon and raisins', 'stir until smooth', 'pour sauce over squash in cooker', 'cover& cook on low heat setting for 6-7 hours or high heat for 3-31 / 2 hours']",a great slow cooker idea. this is a pretty squash dish even the kids will like. it goes well with roasted pork or pork chops.,"acorn squash, cranberry sauce, orange marmalade, raisins, cinnamon, salt and pepper",6.0,334.1,0.0,241.0,2.0,4.0,0.0,29.0
acorn squash   bourbon butter,23423.0,95.0,1533.0,2002-03-28,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'side-dishes', 'vegetables', 'oven', 'dietary', 'equipment', '4-hours-or-less']","[193.0, 0.0, 105.0, 0.0, 2.0, 0.0, 14.0]",17.0,"['cut squash in half crosswise', 'remove seeds', 'place squash , cut side down , in a shallow baking dish or pan', 'add water to dish to depth of 1 / 2 inch', 'bake at 375 degrees for 45 minutes or until tender', 'drain and cool slightly', 'scoop out pulp , discarding shells', 'place pulp in container of an electric blender or food processor', 'process until smooth , stopping once to scrape down sides', 'combine pulp , cider and bourbon in heavy saucepan', 'bring to a boil', 'reduce heat to low , and cook for 35 minutes , stirring often', 'stir in brown sugar and remaining ingredients', 'cook 10 minutes or until mixture reaches spreading consistency', 'serve with biscuits , english muffins or toast', 'can also be served as a relish with pork or ham', 'store in refrigerator']",,"acorn squash, apple cider, bourbon, brown sugar, ginger, allspice, nutmeg",7.0,193.0,0.0,105.0,0.0,2.0,0.0,14.0
acorn squash  n citrus,38374.0,70.0,4470.0,2002-08-26,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'side-dishes', 'vegetables', 'oven', 'easy', 'dinner-party', 'holiday-event', 'vegan', 'vegetarian', 'dietary', 'gluten-free', 'comfort-food', 'free-of-something', 'taste-mood', 'equipment', '4-hours-or-less']","[178.1, 4.0, 64.0, 1.0, 3.0, 9.0, 13.0]",4.0,"['brush the cleaned squash with the butter', 'place squash cut side down on a greased pan and bake for 40 minutes at 350f mix remaining ingredients and spoon into the baked squash cavities', 'bake for an additional 15 minutes', 'serve piping hot']",you can substitute orange-ginger marmalade for the marmalade & candied ginger. very nice tang to this recipe,"acorn squash, butter, orange marmalade, candied ginger, fresh lemon juice, nutmeg",6.0,178.1,4.0,64.0,1.0,3.0,9.0,13.0
acorn squash a la kree,85142.0,25.0,67899.0,2004-02-26,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'healthy', '5-ingredients-or-less', 'side-dishes', 'vegetables', 'easy', 'microwave', 'beginner-cook', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'comfort-food', 'healthy-2', 'low-in-something', 'squash', 'taste-mood', 'sweet', 'equipment']","[205.5, 11.0, 53.0, 4.0, 3.0, 6.0, 11.0]",6.0,"['cut the squash in half and remove the seeds and stringy parts', 'place them cut-side-up in a microwave-safe baking dish', 'place 2 tsp margarine into each squash cavity and sprinkle with approximately 1 tbsp brown sugar', 'salt and pepper to taste', 'cover the entire dish with plastic wrap and microwave it on high for 13-16 minutes or until the squash are tender when poked with a fork', 'remove the plastic wrap and let them cool for at least 5 minutes before serving']","this is a favorite in my house. my mom has been making it for as long as i can remember, so i decided it was finally time to write it down. it's so sweet, and the margarine and brown sugar melt together to make a delicious sauce!","acorn squash, soy margarine, brown sugar, salt and pepper",4.0,205.5,11.0,53.0,4.0,3.0,6.0,11.0
acorn squash and apple mash,142269.0,40.0,82737.0,2005-10-23,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'low-protein', 'healthy', '5-ingredients-or-less', 'side-dishes', 'fruit', 'vegetables', 'easy', 'low-fat', 'dietary', 'low-sodium', 'low-cholesterol', 'low-calorie', 'inexpensive', 'healthy-2', 'low-in-something', 'apples', 'squash']","[375.6, 18.0, 179.0, 3.0, 4.0, 36.0, 24.0]",7.0,"['place the acorn squash in a casserole dish cut side up', 'place 1 cut-up apple in each of the cavities', 'sprinle each quarter with brown sugar and honey', 'dot butter onto each acorn squash', 'cover with tinfoil and bake at 350 degrees until squash is tender', 'scoop everything out of the acorn squash and mash until smooth and serve', 'this also freezes well']","my son's a relatively picky veggie eater so i'm resorting to subterfuge here.  he loves sweet potatoes and i've managed to convinced him this is them, just mashed.  he loves it!  now besides fried onions and raw carrots i've at least got him to eat some squash!","acorn squash, granny smith apples, butter, brown sugar, honey",5.0,375.6,18.0,179.0,3.0,4.0,36.0,24.0
acorn squash and apple soup,323029.0,40.0,327115.0,2008-09-04,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'low-protein', 'healthy', 'bisques-cream-soups', 'soups-stews', 'fall', 'low-fat', 'dietary', 'low-sodium', 'low-cholesterol', 'seasonal', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something']","[230.7, 4.0, 70.0, 23.0, 13.0, 3.0, 16.0]",14.0,"['place squash cut side down on rack set over gently simmering water in saucepan', 'cover and steam until tender', 'cool squash slightly and scoop pulp from shells', 'combine 1 / 4 cup chicken stock , apples and onion in heavy medium saucepan', 'cover and cook over low heat 10 minutes', 'add squash pulp , remaining chicken stock , apple juice , ginger and salt', 'cover and simmer about 20 minutes', 'puree soup in batches in processor or blender', 'strain through sieve into clean saucepan , pressing puree with back of spoon', 'reheat soup gently', 'a', 'dd lemon juice', 'season with salt and generous amount of pepper', 'ladle into bowls and garnish with yogurt and chives']",a lovely fall soup.,"acorn squash, chicken stock, granny smith apples, onion, unsweetened apple juice, fresh gingerroot, salt, fresh lemon juice, fresh ground white pepper",9.0,230.7,4.0,70.0,23.0,13.0,3.0,16.0
acorn squash and apples,31538.0,70.0,27643.0,2002-06-20,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', 'healthy', 'side-dishes', 'fruit', 'vegetables', 'american', 'southern-united-states', 'oven', 'easy', 'holiday-event', 'dietary', 'thanksgiving', 'low-sodium', 'low-cholesterol', 'low-calorie', 'californian', 'healthy-2', 'low-in-something', 'apples', 'equipment', '4-hours-or-less']","[269.0, 14.0, 93.0, 15.0, 4.0, 28.0, 16.0]",6.0,"['sprinkle squash with salt', 'in skillet , saute apples and raisins in butter', 'add sugar , cinnamon , and nutmeg , cook for 5 minutes', 'spoon into squash halves', 'place in baking dish', 'bake at 350 for about 1 hour , until tender']",tender acorn with a apple pie like filling.,"acorn squash, salt, tart apples, raisins, butter, brown sugar, cinnamon, nutmeg",8.0,269.0,14.0,93.0,15.0,4.0,28.0,16.0
acorn squash and arugula pizza,266994.0,60.0,613777.0,2007-11-20,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'appetizers', 'lunch', 'easy', 'beginner-cook', 'holiday-event', 'vegetarian', 'dietary', 'seasonal']","[159.1, 15.0, 13.0, 11.0, 14.0, 24.0, 3.0]",9.0,"['cut squash into slices', 'make acorn mix toss with acorn squash', 'put flat onto baking sheet cook on 375f for 25 minute', 'take out cool', 'take non cooked dough roll out place in oven for 15 minutes', 'pull out and top with both cheeses and stick back in oven for 10 minutes', 'take out top with peeled squash and arugula', 'drizzle oil and finish with dash of cracked pepper', 'cut into about 8 slices and enjoy']",i found this on a cooking channel and she made it look so easy that i had to try it not being a pizza sauce fan this was perfect for me and will be using it on thanksgiving.  you can use boboli pizza crust instead of raw but cook crust for about 8min first then add ingredients. use a very sharp knife on the squash as it can be tough to cut.,"acorn squash, red pepper flakes, olive oil, maple syrup, salt and pepper, gorgonzola, mozzarella cheese, arugula, oil, cracked pepper",10.0,159.1,15.0,13.0,11.0,14.0,24.0,3.0
acorn squash and granny smith apple soup,262569.0,15.0,365653.0,2007-10-31,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', 'low-protein', 'healthy', 'bisques-cream-soups', 'side-dishes', 'soups-stews', 'fruit', 'vegetables', 'american', 'easy', 'microwave', 'dinner-party', 'fall', 'holiday-event', 'kosher', 'low-fat', 'vegetarian', 'stove-top', 'dietary', 'thanksgiving', 'low-sodium', 'low-cholesterol', 'seasonal', 'low-saturated-fat', 'low-calorie', 'low-carb', 'egg-free', 'free-of-something', 'low-in-something', 'apples', 'onions', 'squash', 'brunch', 'equipment', 'number-of-servings', 'presentation']","[250.9, 10.0, 57.0, 3.0, 15.0, 4.0, 15.0]",18.0,"['pierce acorn squash with a fork , and place on a paper towel in the microwave for 8-10 minutes', 'pierce with', 'carefully remove from microwave', 'allow to cool , then halve the acorn squash lengthwise', 'scoop out seeds and fibers', 'meanwhile , heat oil in a medium pot or dutch oven', 'saut onions and apples for 5 minutes , until softened', 'sprinkle curry powder and stir well', 'scoop the flesh of the acorn squash from the skin and add to pot', 'discard skin', 'pour in chicken or vegetable broth', 'bring to a boil , then cover and simmer for 15 minutes', 'using a hand blender or a regular blender , puree the soup until smooth', 'serves 4', 'per serving: calories 145 , calories from fat 2', '8g , cholesterol 0mg , sodium 37mg , fiber 4', '3g , protein 2', '6g']","i got this recipe from about.com and it was written by fiona haynes. i'm adding this because this is a great recipe and tastes great, wonderful on a cool autumn night.
""acorn squash has a slightly earthier taste than butternut squash, which complements the sweetness of the apple and mild spice of the curry powder. enjoy this acorn squash and apple soup with some crusty whole-grain bread."" -fiona haynes","acorn squash, canola oil, onion, granny smith apple, curry powder, fat-free low-sodium chicken broth",6.0,250.9,10.0,57.0,3.0,15.0,4.0,15.0
acorn squash and kale over penne,255734.0,30.0,283251.0,2007-09-26,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'pasta', 'vegetables', 'fall', 'vegetarian', 'winter', 'dietary', 'seasonal', 'pasta-rice-and-grains', 'penne', 'pasta-shells', 'greens', 'squash', 'presentation', 'served-hot']","[288.2, 10.0, 0.0, 12.0, 21.0, 12.0, 16.0]",14.0,"['place squash in a casserole dish with 1 / 4 cup water', 'cover with plastic wrap', 'microwave 7 minutes on high or until tender', 'heat oil in a dutch oven over medium-high heat', 'add garlic', 'cook 1 minute , stirring constantly', 'add kale and broth', 'cover', 'cook 3 minutes , stirring occasionally', 'uncover', 'cook 1 minute', 'stir in the salt , pepper , and nutmeg', 'stir in squash and pasta , tossing gently', 'sprinkle with cheese']",from health magazine.,"acorn squash, water, olive oil, garlic cloves, kale, vegetable broth, salt, crushed red pepper flakes, nutmeg, cooked penne, parmesan cheese",11.0,288.2,10.0,0.0,12.0,21.0,12.0,16.0
